# Modelo: Navier-Stokes 2D Completo | Re: 1500.00 | Pr: 0.70
x,u_central,du_central_dx,du_dy_wall,T_central,dT_central_dx,dT_dy_wall,p_central,T_bulk,dT_bulk_dx
0.0,1.0,0.5837141699842252,500.0,0.0,0.010499509086561018,-500.0,6.087382818341497,0.0,0.5500702884724895
0.2,1.116742833996845,0.5278690237301165,113.74327729392617,0.0020999018173122035,0.018239713445525527,-81.56465192569529,6.087382818341497,0.1100140576944979,0.38695718361060816
0.4,1.2111476094920466,0.31309271708830266,93.27367141386435,0.007295885378210212,0.035801636770855606,-52.32650959308144,5.8254535047286,0.1547828734442433,0.1904785135340451
0.6000000000000001,1.2419799208321662,0.18914133285705992,74.39035818052847,0.01642055652565445,0.05475829760756751,-42.47900317758263,5.855144143633159,0.18620546310811598,0.15513392758012406
0.8,1.2868041426348706,0.1706814334617297,73.44383060737698,0.029199204421237215,0.07222538888870209,-37.29903491792885,5.741331790774102,0.21683644447629294,0.14011402108174187
1.0,1.310252494216858,0.12479029675209619,66.9394099150152,0.045310712081135275,0.08688594524279444,-33.82332642707764,5.7274203430547015,0.2422510715408127,0.12624046325192406
1.2000000000000002,1.3367202613357092,0.10922002622992144,66.16433019172553,0.063953582518355,0.09801097169085053,-31.341224709879324,5.661993552489468,0.26733262977706257,0.11912497144671963
1.4000000000000001,1.3539405047088269,0.08466182067902217,63.232788305845624,0.08451510075747551,0.10592864162813886,-29.40163159982212,5.6332529238962525,0.2899010601195006,0.11143700251561683
1.6,1.3705849896073181,0.07156329493690228,62.43714691681597,0.10632503916961054,0.11099048213888793,-27.84390511902568,5.586548781143971,0.3119074307833093,0.10656921698275024
1.8,1.3825658226835877,0.056521653727732435,60.907851096914044,0.12891129361303066,0.11383899765250993,-26.5322151329721,5.553895047357631,0.3325287469126007,0.10155718131655889
2.0,1.393193651098411,0.04656393957735894,60.229046084898954,0.1518606382306145,0.11495136951862811,-25.405535946896762,5.515242509180323,0.35253030330993285,0.09776807675078503
2.2,1.4011913985145312,0.03681218591189328,59.33524583629173,0.17489184142048192,0.1148083252172386,-24.409630978514727,5.482247512512965,0.37163597761291467,0.09405141819894136
2.4000000000000004,1.4079185254631683,0.02963129456577418,58.804923395567656,0.19778396831750997,0.1137470353010509,-23.515420985246504,5.44745708005763,0.3901508705895094,0.090900361407102
2.6,1.4130439163408406,0.023142376068313375,58.23589001295139,0.22039065554090226,0.11205361963830679,-22.69772262009051,5.415106882360128,0.40799612217575537,0.0878723134385585
2.8000000000000003,1.417175475890494,0.018096785023906214,57.836337401372035,0.24260541617283274,0.10992568095335253,-21.94124914115092,5.382384647365131,0.4252997959649329,0.0851321222591439
3.0,1.4202826303504028,0.013722720307884018,57.45116390991962,0.2643609279222432,0.1075180605195325,-21.2332553553235,5.350813422887689,0.44204897107941277,0.08250744821363187
