y,u_x0.00,v_x0.00,T_x0.00,u_x0.40,v_x0.40,T_x0.40,u_x1.00,v_x1.00,T_x1.00,u_x5.00,v_x5.00,T_x5.00,u_x10.00,v_x10.00,T_x10.00,u_x16.00,v_x16.00,T_x16.00
0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
0.002,1.0,0.0,0.0,0.1865473428277287,0.0004624614061101252,0.8953469808138371,0.13387881983003042,4.4753194466131197e-05,0.9323533471458447,0.11136562525679652,-7.255888621996291e-06,0.9686904601742666,0.10869111716617808,-7.077349620761027e-06,0.9852622152150967,0.10649867878140787,-5.683373143867395e-06,0.9942108077824452
0.004,1.0,0.0,0.0,0.3556076069602514,0.001086116585764326,0.791335031838585,0.26164378367829927,0.000123739290804955,0.8647728122660718,0.21829642800007523,-1.3559963301982194e-05,0.9373942557190453,0.21304265375723155,-1.3705081221468484e-05,0.9705303489427638,0.20869075976829685,-1.1018195157533424e-05,0.9884235738985769
0.006,1.0,0.0,0.0,0.5062524251190705,0.0019293202699368146,0.6900367587642395,0.3828122764320917,0.0002613103509263866,0.7974860032936713,0.32077821227526454,-1.8130534001422502e-05,0.9061456849294139,0.3130479208927775,-1.94927731286011e-05,0.9558202618325115,0.3065754782690053,-1.569984380882778e-05,0.9826442381865252
0.008,1.0,0.0,0.0,0.6379049439487317,0.0028395619920434786,0.5938174128082417,0.49681377745384164,0.00044206351293892666,0.7308445874583858,0.41879513555939396,-2.1190512288380847e-05,0.8749983645648279,0.40869957906898396,-2.4499737760673415e-05,0.9411570421560844,0.4001514100005766,-1.9770017682239274e-05,0.9768824402761479
0.01,1.0,0.0,0.0,0.7507193766798881,0.0037179627894301376,0.5047014216126873,0.603086014053631,0.0006541576431223708,0.6653048322064332,0.5123300964181348,-2.2871788381614364e-05,0.8440238423205635,0.4999896531366534,-2.874210118571257e-05,0.9265743268671889,0.48941646873711664,-2.32375506458424e-05,0.9711512460703892
0.012,1.0,0.0,0.0,0.8456237292982165,0.0044963868758161486,0.4240630818154128,0.7011477889916443,0.0008847742698337823,0.6013949756233534,0.6013653096880273,-2.3326951936242567e-05,0.8133100863122458,0.586909624084938,-3.224260156126126e-05,0.9121135726101193,0.5743679640507321,-2.6116715208044327e-05,0.9654668554945621
0.014,1.0,0.0,0.0,0.9241377535812613,0.005135228608365768,0.3525816231709014,0.7906504846564454,0.0011208565604805619,0.5396754846064509,0.6858828909224068,-2.271797098782595e-05,0.7829598746112681,0.6694505201421913,-3.502552880898667e-05,0.8978232780883633,0.6550026606485392,-2.8423327647938178e-05,0.9598482912164268
0.016,1.0,0.0,0.0,0.9881278386656132,0.0056168060498763255,0.2903401044051686,0.8714128222213633,0.0013496771542762813,0.4806967810167251,0.7658654558157684,-2.1216280025549916e-05,0.7530890734868725,0.7476030134874475,-3.711718712452109e-05,0.8837581536981922,0.7313168439441019,-3.0175105682216103e-05,0.954317066689002
0.018000000000000002,1.0,0.0,0.0,1.0395864638899823,0.005939010407910858,0.23697763813364062,0.943438456390022,0.0015595705262775972,0.4249599229168221,0.8412967147986674,-1.9000675358499543e-05,0.723824802641811,0.8213575206607145,-3.8545782515578516e-05,0.869978238041858,0.8033063903531725,-3.139158796454782e-05,0.9488968332870978
0.02,1.0,0.0,0.0,1.0804689635189477,0.006109866624288761,0.19184176208024784,1.0069159232827913,0.0017405855321120987,0.3728848722749948,0.9121620391406848,-1.6254426288412604e-05,0.6953034907558612,0.8907043054725093,-3.9341349254000776e-05,0.856547963569197,0.8709668413627393,-3.209408714077612e-05,0.9436130073855457
0.022,1.0,0.0,0.0,1.1125894374105008,0.006143295630396732,0.15411666617779685,1.062202509520127,0.0018849381483685725,0.3247892379982063,0.9784489708872528,-1.316154924349986e-05,0.6676688299388381,0.9556335830965995,-3.953565664899857e-05,0.8435351761613957,0.9342934803504032,-3.230563132345423e-05,0.9384923792636891
0.024,1.0,0.0,0.0,1.1375649197515871,0.006056031009527289,0.12292040049563537,1.1097958280710392,0.0019872163517402415,0.28087836650996073,1.040147647372082,-9.90239618102001e-06,0.6410696426944712,1.016135624022395,-3.9162101923027366e-05,0.8310101158310929,0.993281411129889,-3.205089726836593e-05,0.9335627066730593
0.026000000000000002,1.0,0.0,0.0,1.1567941685526286,0.005865511692203459,0.09737288223683184,1.15029808939077,0.0020443519808851203,0.24124592180774704,1.097251112034689,-6.648747083748968e-06,0.6156576796837724,1.0722008565619081,-3.8255592050592266e-05,0.8190443678438835,1.047925637204183,-3.135613662388748e-05,0.9288522967625258
0.028,1.0,0.0,0.0,1.1714590039745496,0.005588538103711266,0.07663989680814426,1.1843780314955448,0.002055411387703667,0.20588295485740915,1.149755487740243,-3.5586615325252656e-06,0.5915853707725565,1.1238199666563535,-3.685241605586189e-05,0.8077097954318964,1.098221140722938,-3.0249094668897224e-05,0.9243895808035564
0.03,1.0,0.0,0.0,1.1825389556366794,0.005240492831008547,0.0599588946765486,1.2127345631258764,0.0020212702522185103,0.1746929556987171,1.1976599918324824,-7.710046328799121e-07,0.5690035563454832,1.1709839938102367,-3.499011122394552e-05,0.7970774668360501,1.1441629601665535,-2.87589226736963e-05,0.9202026867841636
0.032,1.0,0.0,0.0,1.1908327272727481,0.004834959276809257,0.04665177499490466,1.2360648693359035,0.001944235049382551,0.1475103914141758,1.2409667633110988,1.5994195655721144e-06,0.5480592321358864,1.2136844220915288,-3.270732595299111e-05,0.7872165906490893,1.1857462658136464,-2.6916083917390107e-05,0.9163190154317372
