x,y,u,v,p,T
0.0,0.0,0.0,0.0,4.135940024365493,1.0
0.2,0.0,0.0,0.0,4.135940024365493,1.0
0.4,0.0,0.0,0.0,3.8769243558354045,1.0
0.6000000000000001,0.0,0.0,0.0,3.9127540726065386,1.0
0.8,0.0,0.0,0.0,3.804442171903114,1.0
1.0,0.0,0.0,0.0,3.79605303682854,1.0
1.2000000000000002,0.0,0.0,0.0,3.7361935508523874,1.0
1.4000000000000001,0.0,0.0,0.0,3.713334321436863,1.0
1.6,0.0,0.0,0.0,3.6725047803735724,1.0
1.8,0.0,0.0,0.0,3.646043509976365,1.0
2.0,0.0,0.0,0.0,3.6135887143805987,1.0
2.2,0.0,0.0,0.0,3.587046901404382,1.0
2.4000000000000004,0.0,0.0,0.0,3.5587449728946035,1.0
2.6,0.0,0.0,0.0,3.533074933307502,1.0
2.8000000000000003,0.0,0.0,0.0,3.5070902445503256,1.0
3.0,0.0,0.0,0.0,3.4824001212370566,1.0
3.2,0.0,0.0,0.0,3.4578452044573598,1.0
3.4000000000000004,0.0,0.0,0.0,3.4340022307428817,1.0
3.6,0.0,0.0,0.0,3.410399033499143,1.0
3.8000000000000003,0.0,0.0,0.0,3.3872312665881616,1.0
4.0,0.0,0.0,0.0,3.3642967659819134,1.0
4.2,0.0,0.0,0.0,3.341654064464846,1.0
4.4,0.0,0.0,0.0,3.3192107143352314,1.0
4.6000000000000005,0.0,0.0,0.0,3.296977129982328,1.0
4.800000000000001,0.0,0.0,0.0,3.274906997296826,1.0
5.0,0.0,0.0,0.0,3.2529954416158446,1.0
5.2,0.0,0.0,0.0,3.231216692219696,1.0
5.4,0.0,0.0,0.0,3.2095621499835576,1.0
5.6000000000000005,0.0,0.0,0.0,3.188015844525414,1.0
5.800000000000001,0.0,0.0,0.0,3.1665692156274785,1.0
6.0,0.0,0.0,0.0,3.1452113625608384,1.0
6.2,0.0,0.0,0.0,3.123934782964406,1.0
6.4,0.0,0.0,0.0,3.1027314610423398,1.0
6.6000000000000005,0.0,0.0,0.0,3.0815950937213485,1.0
6.800000000000001,0.0,0.0,0.0,3.060519506587152,1.0
7.0,0.0,0.0,0.0,3.03949951702051,1.0
7.2,0.0,0.0,0.0,3.018530287265317,1.0
7.4,0.0,0.0,0.0,2.9976076582503537,1.0
7.6000000000000005,0.0,0.0,0.0,2.9767278814074576,1.0
7.800000000000001,0.0,0.0,0.0,2.955887744139203,1.0
8.0,0.0,0.0,0.0,2.935084452447351,1.0
8.200000000000001,0.0,0.0,0.0,2.914315670526285,1.0
8.4,0.0,0.0,0.0,2.8935794602304097,1.0
8.6,0.0,0.0,0.0,2.87287428200511,1.0
8.8,0.0,0.0,0.0,2.8521989533159853,1.0
9.0,0.0,0.0,0.0,2.8315526306350756,1.0
9.200000000000001,0.0,0.0,0.0,2.8109347731678667,1.0
9.4,0.0,0.0,0.0,2.7903451158408608,1.0
9.600000000000001,0.0,0.0,0.0,2.7697836349641296,1.0
9.8,0.0,0.0,0.0,2.749250518310317,1.0
10.0,0.0,0.0,0.0,2.728746133146442,1.0
10.200000000000001,0.0,0.0,0.0,2.7082709973084165,1.0
10.4,0.0,0.0,0.0,2.6878257508016468,1.0
10.600000000000001,0.0,0.0,0.0,2.6674111301062036,1.0
10.8,0.0,0.0,0.0,2.6470279441509232,1.0
11.0,0.0,0.0,0.0,2.6266770528307277,1.0
11.200000000000001,0.0,0.0,0.0,2.606359347577805,1.0
11.4,0.0,0.0,0.0,2.58607573428151,1.0
11.600000000000001,0.0,0.0,0.0,2.5658271182742927,1.0
11.8,0.0,0.0,0.0,2.5456143914278355,1.0
12.0,0.0,0.0,0.0,2.5254384211559073,1.0
12.200000000000001,0.0,0.0,0.0,2.5053000412565303,1.0
12.4,0.0,0.0,0.0,2.4852000444181725,1.0
12.600000000000001,0.0,0.0,0.0,2.4651391762706085,1.0
12.8,0.0,0.0,0.0,2.445118130816626,1.0
13.0,0.0,0.0,0.0,2.425137547106176,1.0
13.200000000000001,0.0,0.0,0.0,2.4051980070021073,1.0
13.4,0.0,0.0,0.0,2.3853000339020998,1.0
13.600000000000001,0.0,0.0,0.0,2.3654440922843905,1.0
13.8,0.0,0.0,0.0,2.3456305879572286,1.0
14.0,0.0,0.0,0.0,2.325859868899938,1.0
14.200000000000001,0.0,0.0,0.0,2.306132226594536,1.0
14.4,0.0,0.0,0.0,2.286447897754761,1.0
14.600000000000001,0.0,0.0,0.0,2.266807066369966,1.0
14.8,0.0,0.0,0.0,2.247209865988593,1.0
15.0,0.0,0.0,0.0,2.2276563821761135,1.0
15.200000000000001,0.0,0.0,0.0,2.208146655088947,1.0
15.4,0.0,0.0,0.0,2.1886806821155185,1.0
15.600000000000001,0.0,0.0,0.0,2.169258420541432,1.0
15.8,0.0,0.0,0.0,2.1498797902034754,1.0
16.0,0.0,0.0,0.0,2.130544676102277,1.0
16.2,0.0,0.0,0.0,2.1112529309495462,1.0
16.400000000000002,0.0,0.0,0.0,2.092004377630165,1.0
16.6,0.0,0.0,0.0,2.072798811563496,1.0
16.8,0.0,0.0,0.0,2.053636002952734,1.0
17.0,0.0,0.0,0.0,2.03451569891336,1.0
17.2,0.0,0.0,0.0,2.015437625476353,1.0
17.400000000000002,0.0,0.0,0.0,1.996401489462118,1.0
17.6,0.0,0.0,0.0,1.9774069802255165,1.0
17.8,0.0,0.0,0.0,1.9584537712720942,1.0
18.0,0.0,0.0,0.0,1.9395415217486593,1.0
18.2,0.0,0.0,0.0,1.9206698778108617,1.0
18.400000000000002,0.0,0.0,0.0,1.9018384738732703,1.0
18.6,0.0,0.0,0.0,1.8830469337462172,1.0
18.8,0.0,0.0,0.0,1.8642948716656744,1.0
19.0,0.0,0.0,0.0,1.8455818932217478,1.0
19.200000000000003,0.0,0.0,0.0,1.8269075961924204,1.0
19.400000000000002,0.0,0.0,0.0,1.8082715712886581,1.0
19.6,0.0,0.0,0.0,1.7896734028171106,1.0
19.8,0.0,0.0,0.0,1.7711126692671304,1.0
20.0,0.0,0.0,0.0,1.7525889438274918,1.0
20.200000000000003,0.0,0.0,0.0,1.7341017948395259,1.0
20.400000000000002,0.0,0.0,0.0,1.7156507861915946,1.0
20.6,0.0,0.0,0.0,1.6972354776608214,1.0
20.8,0.0,0.0,0.0,1.678855425206654,1.0
21.0,0.0,0.0,0.0,1.660510181221698,1.0
21.200000000000003,0.0,0.0,0.0,1.642199294743377,1.0
21.400000000000002,0.0,0.0,0.0,1.623922311631537,1.0
21.6,0.0,0.0,0.0,1.6056787747150743,1.0
21.8,0.0,0.0,0.0,1.5874682239117643,1.0
22.0,0.0,0.0,0.0,1.5692901963238546,1.0
22.200000000000003,0.0,0.0,0.0,1.5511442263132988,1.0
22.400000000000002,0.0,0.0,0.0,1.5330298455586302,1.0
22.6,0.0,0.0,0.0,1.514946583096013,1.0
22.8,0.0,0.0,0.0,1.4968939653472426,1.0
23.0,0.0,0.0,0.0,1.4788715161356867,1.0
23.200000000000003,0.0,0.0,0.0,1.4608787566930375,1.0
23.400000000000002,0.0,0.0,0.0,1.4429152056572803,1.0
23.6,0.0,0.0,0.0,1.4249803790642572,1.0
23.8,0.0,0.0,0.0,1.4070737903331803,1.0
24.0,0.0,0.0,0.0,1.389194950247922,1.0
24.200000000000003,0.0,0.0,0.0,1.371343366934243,1.0
24.400000000000002,0.0,0.0,0.0,1.3535185458345556,1.0
24.6,0.0,0.0,0.0,1.3357199896801104,1.0
24.8,0.0,0.0,0.0,1.3179471984621776,1.0
25.0,0.0,0.0,0.0,1.3001996694016131,1.0
25.200000000000003,0.0,0.0,0.0,1.2824768969186335,1.0
25.400000000000002,0.0,0.0,0.0,1.2647783726016353,1.0
25.6,0.0,0.0,0.0,1.2471035851771497,1.0
25.8,0.0,0.0,0.0,1.2294520204793093,1.0
26.0,0.0,0.0,0.0,1.2118231614211714,1.0
26.200000000000003,0.0,0.0,0.0,1.1942164879656292,1.0
26.400000000000002,0.0,0.0,0.0,1.1766314770991055,1.0
26.6,0.0,0.0,0.0,1.1590676028043865,1.0
26.8,0.0,0.0,0.0,1.1415243360373815,1.0
27.0,0.0,0.0,0.0,1.1240011447019547,1.0
27.200000000000003,0.0,0.0,0.0,1.1064974936303127,1.0
27.400000000000002,0.0,0.0,0.0,1.0890128445596046,1.0
27.6,0.0,0.0,0.0,1.0715466561165714,1.0
27.8,0.0,0.0,0.0,1.054098383794931,1.0
28.0,0.0,0.0,0.0,1.0366674799455367,1.0
28.200000000000003,0.0,0.0,0.0,1.0192533937527817,1.0
28.400000000000002,0.0,0.0,0.0,1.001855571232223,1.0
28.6,0.0,0.0,0.0,0.9844734552031819,1.0
28.8,0.0,0.0,0.0,0.9671064852974146,1.0
29.0,0.0,0.0,0.0,0.9497540979227385,1.0
29.200000000000003,0.0,0.0,0.0,0.9324157262895734,1.0
29.400000000000002,0.0,0.0,0.0,0.9150908003562985,1.0
29.6,0.0,0.0,0.0,0.8977787468859454,1.0
29.8,0.0,0.0,0.0,0.8804789893566959,1.0
30.0,0.0,0.0,0.0,0.8631909480708552,1.0
30.200000000000003,0.0,0.0,0.0,0.8459140400005589,1.0
30.400000000000002,0.0,0.0,0.0,0.8286476789890515,1.0
30.6,0.0,0.0,0.0,0.8113912754776166,1.0
30.8,0.0,0.0,0.0,0.7941442368714373,1.0
31.0,0.0,0.0,0.0,0.7769059670502827,1.0
31.200000000000003,0.0,0.0,0.0,0.7596758670298497,1.0
31.400000000000002,0.0,0.0,0.0,0.7424533340799175,1.0
31.6,0.0,0.0,0.0,0.7252377629180944,1.0
31.8,0.0,0.0,0.0,0.7080285441164245,1.0
32.0,0.0,0.0,0.0,0.6908250662569854,1.0
32.2,0.0,0.0,0.0,0.6736267130483206,1.0
32.4,0.0,0.0,0.0,0.6564328672224713,1.0
32.6,0.0,0.0,0.0,0.6392429053104375,1.0
32.800000000000004,0.0,0.0,0.0,0.6220562046974973,1.0
33.0,0.0,0.0,0.0,0.6048721341467148,1.0
33.2,0.0,0.0,0.0,0.5876900665909296,1.0
33.4,0.0,0.0,0.0,0.5705093619244895,1.0
33.6,0.0,0.0,0.0,0.553329390230058,1.0
33.800000000000004,0.0,0.0,0.0,0.5361495004934489,1.0
34.0,0.0,0.0,0.0,0.5189690628375092,1.0
34.2,0.0,0.0,0.0,0.5017874115745657,1.0
34.4,0.0,0.0,0.0,0.48460392211013226,1.0
34.6,0.0,0.0,0.0,0.46741790714989034,1.0
34.800000000000004,0.0,0.0,0.0,0.4502287569315663,1.0
35.0,0.0,0.0,0.0,0.4330357498003534,1.0
35.2,0.0,0.0,0.0,0.4158383082804481,1.0
35.4,0.0,0.0,0.0,0.39863565289939895,1.0
35.6,0.0,0.0,0.0,0.381427270456652,1.0
35.800000000000004,0.0,0.0,0.0,0.3642122804985454,1.0
36.0,0.0,0.0,0.0,0.346990292858197,1.0
36.2,0.0,0.0,0.0,0.32976024660254966,1.0
36.4,0.0,0.0,0.0,0.3125219827399658,1.0
36.6,0.0,0.0,0.0,0.29527411326458053,1.0
36.800000000000004,0.0,0.0,0.0,0.2780169097472899,1.0
37.0,0.0,0.0,0.0,0.2607483864262613,1.0
37.2,0.0,0.0,0.0,0.24346961369337336,1.0
37.4,0.0,0.0,0.0,0.22617750748462886,1.0
37.6,0.0,0.0,0.0,0.20887461832418266,1.0
37.800000000000004,0.0,0.0,0.0,0.19155583681060223,1.0
38.0,0.0,0.0,0.0,0.17422645622118188,1.0
38.2,0.0,0.0,0.0,0.15687762215270096,1.0
38.400000000000006,0.0,0.0,0.0,0.13951971452661854,1.0
38.6,0.0,0.0,0.0,0.12213693866268999,1.0
38.800000000000004,0.0,0.0,0.0,0.10474911971190069,1.0
39.0,0.0,0.0,0.0,0.0873275755711878,1.0
39.2,0.0,0.0,0.0,0.06990969572317375,1.0
39.400000000000006,0.0,0.0,0.0,0.05244282297376232,1.0
39.6,0.0,0.0,0.0,0.03499706575827801,1.0
39.800000000000004,0.0,0.0,0.0,0.017474941797741228,1.0
40.0,0.0,0.0,0.0,0.0,1.0
0.0,0.00125,1.0,0.0,4.135940024365493,0.0
0.2,0.00125,0.1450152673913879,0.0025705218582560267,4.135940024365493,0.8223583703100088
0.4,0.00125,0.11750876444191724,0.00021903306906181298,3.8769243558354045,0.87870420402026
0.6000000000000001,0.00125,0.09196462356622631,4.550484856458842e-05,3.9127540726065386,0.897482721372018
0.8,0.00125,0.0906676949024756,2.48587848892269e-05,3.804442171903114,0.9077105776481397
1.0,0.00125,0.081667092800474,5.610380869527042e-07,3.79605303682854,0.9145626575824467
1.2000000000000002,0.00125,0.08043960551167402,-2.4799069122543393e-06,3.7361935508523874,0.919590436972286
1.4000000000000001,0.00125,0.07622997228527215,-1.0912520709212276e-05,3.713334321436863,0.9234818361699063
1.6,0.00125,0.07493283462502366,-1.2481005506551081e-05,3.6725047803735724,0.9266320260126033
1.8,0.00125,0.07261138382567188,-1.6176934140075404e-05,3.646043509976365,0.9292402033904352
2.0,0.00125,0.07145852401229429,-1.7315774890067686e-05,3.6135887143805987,0.931458223163213
2.2,0.00125,0.06999860578528914,-1.9183953176893933e-05,3.587046901404382,0.9333695258355675
2.4000000000000004,0.00125,0.06904293212251678,-2.0021264719427582e-05,3.5587449728946035,0.9350453714574196
2.6,0.00125,0.06802737463005286,-2.106726314095097e-05,3.533074933307502,0.9365289375727541
2.8000000000000003,0.00125,0.06724938273296331,-2.1663533418703945e-05,3.5070902445503256,0.937858139805704
3.0,0.00125,0.06648807816638024,-2.228855938163283e-05,3.4824001212370566,0.9390583047492804
3.2,0.00125,0.06585012988494109,-2.26985148794474e-05,3.4578452044573598,0.9401515138381012
3.4000000000000004,0.00125,0.06524613757329373,-2.3082743983428487e-05,3.4340022307428817,0.9411537361761244
3.6,0.00125,0.06471243756240141,-2.33530522912581e-05,3.410399033499143,0.942078737228667
3.8000000000000003,0.00125,0.06421107792524906,-2.3586023101583537e-05,3.3872312665881616,0.9429371192701057
4.0,0.00125,0.06375273982677616,-2.3750910909303605e-05,3.3642967659819134,0.9437379754299703
4.2,0.00125,0.063320143098215,-2.388148881601915e-05,3.341654064464846,0.9444885463429614
4.4,0.00125,0.06291534119360036,-2.396889206033101e-05,3.3192107143352314,0.9451950021938265
4.6000000000000005,0.00125,0.06252994234137635,-2.402830983950639e-05,3.296977129982328,0.9458624134142691
4.800000000000001,0.00125,0.06216334047772129,-2.405794004408211e-05,3.274906997296826,0.9464951196484171
5.0,0.00125,0.06181112694345443,-2.406509799626416e-05,3.2529954416158446,0.9470967669199248
5.2,0.00125,0.06147213515832086,-2.4050184511134987e-05,3.231216692219696,0.9476704960643986
5.4,0.00125,0.06114388963062028,-2.401698371605556e-05,3.2095621499835576,0.9482189916329157
5.6000000000000005,0.00125,0.06082532692076581,-2.396640091595024e-05,3.188015844525414,0.9487445851936627
5.800000000000001,0.00125,0.06051498767220315,-2.3900565546658307e-05,3.1665692156274785,0.9492492979440807
6.0,0.00125,0.06021206228136067,-2.382039042401909e-05,3.1452113625608384,0.9497349010847054
6.2,0.00125,0.05991566073768816,-2.372722751310438e-05,3.123934782964406,0.9502029485886302
6.4,0.00125,0.059625209028165704,-2.362192211807095e-05,3.1027314610423398,0.9506548144341724
6.6000000000000005,0.00125,0.059340147124457024,-2.350549051974794e-05,3.0815950937213485,0.9510917165596633
6.800000000000001,0.00125,0.05906007495412482,-2.337875518271339e-05,3.060519506587152,0.9515147408471926
7.0,0.00125,0.0587846233867546,-2.3242623481970027e-05,3.03949951702051,0.9519248583076386
7.2,0.00125,0.058513505112856724,-2.30979442339979e-05,3.018530287265317,0.9523229411096091
7.4,0.00125,0.05824645754147295,-2.2945618506869806e-05,2.9976076582503537,0.9527097749057237
7.6000000000000005,0.00125,0.05798325896391193,-2.2786537171794894e-05,2.9767278814074576,0.9530860699205002
7.800000000000001,0.00125,0.05772370269947856,-2.2621618524107453e-05,2.955887744139203,0.9534524699064518
8.0,0.00125,0.057467601673308985,-2.2451774281805998e-05,2.935084452447351,0.9538095600843604
8.200000000000001,0.00125,0.05721477692536424,-2.2277915448594124e-05,2.914315670526285,0.9541578737919807
8.4,0.00125,0.05696505904146645,-2.21009292384105e-05,2.8935794602304097,0.9544978983666452
8.6,0.00125,0.056718283563217536,-2.1921673058811642e-05,2.87287428200511,0.9548300802022481
8.8,0.00125,0.05647429194951387,-2.1740958040192234e-05,2.8521989533159853,0.9551548292374431
9.0,0.00125,0.056232930271524005,-2.155954123521072e-05,2.8315526306350756,0.9554725228822715
9.200000000000001,0.00125,0.05599405023588694,-2.1378115338926294e-05,2.8109347731678667,0.9557835095139731
9.4,0.00125,0.055757509267320045,-2.1197303742874264e-05,2.7903451158408608,0.9560881115650198
9.600000000000001,0.00125,0.05552317147086996,-2.101765618931627e-05,2.7697836349641296,0.9563866282743206
9.8,0.00125,0.05529090810247113,-2.0839647914495677e-05,2.749250518310317,0.9566793381260014
10.0,0.00125,0.055060598281481,-2.066368010653833e-05,2.728746133146442,0.9569665010186551
10.200000000000001,0.00125,0.054832129381686974,-2.0490082497290177e-05,2.7082709973084165,0.9572483601878033
10.4,0.00125,0.05460539741331984,-2.0319116973157322e-05,2.6878257508016468,0.9575251439112615
10.600000000000001,0.00125,0.05438030717794956,-2.015098225811511e-05,2.6674111301062036,0.9577970670179656
10.8,0.00125,0.05415677234167101,-1.9985819074865003e-05,2.6470279441509232,0.9580643322228711
11.0,0.00125,0.05393471535091971,-1.9823715712991717e-05,2.6266770528307277,0.9583271313059097
11.200000000000001,0.00125,0.05371406726442858,-1.9664713641820277e-05,2.606359347577805,0.9585856461528764
11.4,0.00125,0.05349476748057371,-1.950881311782242e-05,2.58607573428151,0.9588400496733047
11.600000000000001,0.00125,0.05327676339970406,-1.9355978622869004e-05,2.5658271182742927,0.9590905066094777
11.8,0.00125,0.053060010020428976,-1.920614409415158e-05,2.5456143914278355,0.9593371742487922
12.0,0.00125,0.05284446949351136,-1.9059217842592813e-05,2.5254384211559073,0.9595802030507485
12.200000000000001,0.00125,0.05263011063939117,-1.8915087172304024e-05,2.5053000412565303,0.9598197371983107
12.4,0.00125,0.05241690844534069,-1.8773622627469633e-05,2.4852000444181725,0.9600559150827054
12.600000000000001,0.00125,0.05220484355029079,-1.863468186904055e-05,2.4651391762706085,0.960288869729554
12.8,0.00125,0.05199390172891887,-1.8498113154666916e-05,2.445118130816626,0.9605187291735394
13.0,0.00125,0.05178407338211788,-1.836375843794393e-05,2.425137547106176,0.9607456167880193
13.200000000000001,0.00125,0.05157535304160033,-1.8231456082498427e-05,2.4051980070021073,0.9609696515753176
13.4,0.00125,0.05136773889365682,-1.8101043216798916e-05,2.3853000339020998,0.961190948422769
13.600000000000001,0.00125,0.051161232326493146,-1.7972357744404196e-05,2.3654440922843905,0.9614096183290178
13.8,0.00125,0.05095583750393401,-1.7845240040183483e-05,2.3456305879572286,0.9616257686045091
14.0,0.00125,0.050751560967587116,-1.771953436853218e-05,2.325859868899938,0.9618395030497001
14.200000000000001,0.00125,0.05054841126869347,-1.7595090018308867e-05,2.306132226594536,0.9620509221140028
14.4,0.00125,0.050346398630254516,-1.747176222527602e-05,2.286447897754761,0.9622601230381974
14.600000000000001,0.00125,0.05014553463951833,-1.734941285765777e-05,2.266807066369966,0.9624671999826055
14.8,0.00125,0.04994583197041261,-1.7227910925576438e-05,2.247209865988593,0.962672244143142
15.0,0.00125,0.04974730413517252,-1.7107132940079068e-05,2.2276563821761135,0.962875343856994
15.200000000000001,0.00125,0.049549965263993,-1.6986963086837768e-05,2.208146655088947,0.9630765846994631
15.4,0.00125,0.049353829911225416,-1.686729331907516e-05,2.1886806821155185,0.9632760495733629
15.600000000000001,0.00125,0.04915891288666588,-1.67480233109047e-05,2.169258420541432,0.9634738187920198
15.8,0.00125,0.04896522911009321,-1.662906036792342e-05,2.1498797902034754,0.9636699701569739
16.0,0.00125,0.04877279348736074,-1.651031921493617e-05,2.130544676102277,0.9638645790311181
