x,y,u,v,p,T
12.0,0.0,0.0,0.0,0.2119494937071757,1.0
12.125,0.0,0.0,0.0,0.20960546143268263,1.0
12.25,0.0,0.0,0.0,0.2072702678429806,1.0
12.375,0.0,0.0,0.0,0.20494377406679667,1.0
12.5,0.0,0.0,0.0,0.20262584483935134,1.0
12.625,0.0,0.0,0.0,0.2003163483732198,1.0
12.75,0.0,0.0,0.0,0.1980151562349736,1.0
12.875,0.0,0.0,0.0,0.195722143227281,1.0
13.0,0.0,0.0,0.0,0.19343718727616857,1.0
13.125,0.0,0.0,0.0,0.19116016932316424,1.0
13.25,0.0,0.0,0.0,0.18889097322206497,1.0
13.375,0.0,0.0,0.0,0.1866294856400677,1.0
13.5,0.0,0.0,0.0,0.18437559596304126,1.0
13.625,0.0,0.0,0.0,0.18212919620471485,1.0
13.75,0.0,0.0,0.0,0.1798901809195702,1.0
13.875,0.0,0.0,0.0,0.17765844711925693,1.0
14.0,0.0,0.0,0.0,0.17543389419233268,1.0
14.125,0.0,0.0,0.0,0.17321642382717037,1.0
14.25,0.0,0.0,0.0,0.17100593993787144,1.0
14.375,0.0,0.0,0.0,0.16880234859302776,1.0
14.5,0.0,0.0,0.0,0.16660555794720777,1.0
14.625,0.0,0.0,0.0,0.16441547817502514,1.0
14.75,0.0,0.0,0.0,0.1622320214076845,1.0
14.875,0.0,0.0,0.0,0.1600551016718795,1.0
15.0,0.0,0.0,0.0,0.15788463483094564,1.0
15.125,0.0,0.0,0.0,0.1557205385281757,1.0
15.25,0.0,0.0,0.0,0.1535627321322013,1.0
15.375,0.0,0.0,0.0,0.15141113668436382,1.0
15.5,0.0,0.0,0.0,0.14926567484798847,1.0
15.625,0.0,0.0,0.0,0.14712627085949523,1.0
15.75,0.0,0.0,0.0,0.1449928504812753,1.0
15.875,0.0,0.0,0.0,0.14286534095626613,1.0
16.0,0.0,0.0,0.0,0.14074367096416354,1.0
16.125,0.0,0.0,0.0,0.13862777057921463,1.0
16.25,0.0,0.0,0.0,0.13651757122953018,1.0
16.375,0.0,0.0,0.0,0.13441300565786624,1.0
16.5,0.0,0.0,0.0,0.13231400788381656,1.0
16.625,0.0,0.0,0.0,0.13022051316737124,1.0
16.75,0.0,0.0,0.0,0.12813245797378886,1.0
16.875,0.0,0.0,0.0,0.12604977993972694,1.0
17.0,0.0,0.0,0.0,0.12397241784060001,1.0
17.125,0.0,0.0,0.0,0.12190031155909957,1.0
17.25,0.0,0.0,0.0,0.11983340205484085,1.0
17.375,0.0,0.0,0.0,0.11777163133509792,1.0
17.5,0.0,0.0,0.0,0.11571494242656624,1.0
17.625,0.0,0.0,0.0,0.11366327934812269,1.0
17.75,0.0,0.0,0.0,0.11161658708454615,1.0
17.875,0.0,0.0,0.0,0.10957481156114224,1.0
18.0,0.0,0.0,0.0,0.10753789961924885,1.0
18.125,0.0,0.0,0.0,0.10550579899257222,1.0
18.25,0.0,0.0,0.0,0.10347845828433008,1.0
18.375,0.0,0.0,0.0,0.10145582694514477,1.0
18.5,0.0,0.0,0.0,0.0994378552516923,1.0
18.625,0.0,0.0,0.0,0.09742449428600526,1.0
18.75,0.0,0.0,0.0,0.09541569591551115,1.0
18.875,0.0,0.0,0.0,0.09341141277359799,1.0
19.0,0.0,0.0,0.0,0.0914115982409607,1.0
19.125,0.0,0.0,0.0,0.08941620642725584,1.0
19.25,0.0,0.0,0.0,0.08742519215374803,1.0
19.375,0.0,0.0,0.0,0.08543851093580032,1.0
19.5,0.0,0.0,0.0,0.08345611896696019,1.0
19.625,0.0,0.0,0.0,0.08147797310182363,1.0
19.75,0.0,0.0,0.0,0.07950403084207838,1.0
19.875,0.0,0.0,0.0,0.07753425031871314,1.0
20.0,0.0,0.0,0.0,0.07556859028144314,1.0
20.125,0.0,0.0,0.0,0.07360701007783334,1.0
20.25,0.0,0.0,0.0,0.07164946964978128,1.0
20.375,0.0,0.0,0.0,0.06969592950358765,1.0
