# Modelo: Navier-Stokes 2D Completo | Re: 2000.00 | Pr: 1.00
x,u_central,du_central_dx,du_dy_wall,T_central,dT_central_dx,dT_dy_wall,p_central,T_bulk,dT_bulk_dx
0.0,1.0,0.05803950230591859,50.0,0.0,3.6938675502324294e-13,-50.0,0.5901053968509025,0.0,0.1668513655980183
0.125,1.0072549377882398,0.07463993579639272,32.740735004138095,4.617334437790537e-14,2.3424738742316034e-12,-29.781294948838564,0.5901053968509025,0.020856420699752288,0.12973306675249682
0.25,1.0186599839490982,0.09441423186883569,26.39620474515448,5.856184685579008e-13,1.6361937507855562e-11,-20.74783831611023,0.5756182383776809,0.032433266688124206,0.07350143325462898
0.375,1.0308584957554487,0.09986036498890272,20.94139560243689,4.136657721341796e-12,7.564813005799293e-11,-16.230921495217093,0.5670114111231367,0.03923177901340953,0.0484740504183811
0.5,1.0436250751963239,0.09357236653902401,18.44512436996902,1.9497650983056134e-11,2.667677327318559e-10,-13.971430607874241,0.5506350039003836,0.04455177929271948,0.037543618877134866
0.625,1.0542515873902047,0.08224507498294287,16.48507978367321,7.082859090430577e-11,7.741126961567596e-10,-12.558483212445609,0.5405084276261253,0.04861768373269325,0.031077890810467385
0.75,1.0641863439420596,0.07335864973715722,15.360688746162355,2.1302582502224604e-10,1.946546216662177e-09,-11.597993438493804,0.5283987808931548,0.052321251995336326,0.027830624035270812
0.875,1.072591249824494,0.06447646749455327,14.431444748894782,5.5746514506985e-10,4.386131259630214e-09,-10.859299973268321,0.5195206253663531,0.05557533974151095,0.025279124381018758
1.0,1.080305460815698,0.05832172267467772,13.779001069689148,1.3095586399297996e-09,9.065330288564797e-09,-10.274119451697095,0.5105367805591855,0.058641033090591016,0.023627810793984516
1.125,1.0871716804931635,0.052984624617683274,13.219968514850514,2.823797717211049e-09,1.747051872867335e-08,-9.787245933544837,0.5030169655200986,0.06148229244000708,0.02219571654440411
1.25,1.0935516169701187,0.04911662435739128,12.774670518379516,5.677188322098137e-09,3.1773307940827034e-08,-9.376213059722282,0.49577514778489973,0.06418996222669204,0.021105000177295496
1.375,1.0994508365825113,0.04586687160412506,12.384309199315364,1.0767124702417807e-08,5.5025560319998444e-08,-9.020638246855912,0.48923040620332464,0.06675854248433095,0.02013900399347779
1.5,1.10501833487115,0.04332974767360653,12.05121846219647,1.943357840209775e-08,9.13735709933074e-08,-8.709660704521438,0.4829721671360878,0.06922471322506149,0.019335774472451384
1.625,1.110283273500913,0.041170817432734985,11.754118743921287,3.3610517450744656e-08,1.4628597210882152e-07,-8.433794801237477,0.47709512300288265,0.0715924861024438,0.018617746499275
1.75,1.1153110392293337,0.03937293954979637,11.49102848377172,5.600507142930313e-08,2.2678615945675402e-07,-8.18699774557129,0.4714511829839272,0.07387914984988024,0.017991792043819954
1.875,1.120126508388362,0.03780466430438345,11.253087353768272,9.030705731493316e-08,3.416830171436849e-07,-7.9641701773323135,0.4660508441777206,0.07609043411339879,0.01742696778855557
2.0,1.1247622053054296,0.03643890275696737,11.037839622734746,1.4142582571522436e-07,5.017887747677528e-07,-7.761656555502277,0.4608349159524823,0.07823589179701913,0.01692115021439561
2.125,1.1292362340776039,0.035220347465060975,10.840968154742587,2.1575425100687137e-07,7.201178511689062e-07,-7.576409325942201,0.4557950209509497,0.08032072166699769,0.016460325268668974
