y,u_x0.00,v_x0.00,T_x0.00,u_x0.40,v_x0.40,T_x0.40,u_x1.00,v_x1.00,T_x1.00,u_x5.00,v_x5.00,T_x5.00,u_x10.00,v_x10.00,T_x10.00,u_x16.00,v_x16.00,T_x16.00
0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
0.00125,1.0,0.0,0.0,0.11750876444191724,0.00021903306906181298,0.87870420402026,0.081667092800474,5.610380869527042e-07,0.9145626575824467,0.06181112694345443,-2.406509799626416e-05,0.9470967669199248,0.055060598281481,-2.066368010653833e-05,0.9569665010186551,0.04877279348736074,-1.651031921493617e-05,0.9638645790311181
0.0025,1.0,0.0,0.0,0.22853090387850716,0.0004992873877489106,0.7583822223253722,0.1612921165555879,1.3509156759119703e-05,0.829352424877928,0.12232855705565168,-4.721644391274163e-05,0.8942940767964074,0.10891289405409729,-4.0708918029503847e-05,0.9140016769525848,0.09641030285314299,-3.250773516143449e-05,0.9277746036811012
0.00375,1.0,0.0,0.0,0.3328648928391163,0.0008932976021655294,0.6429958489947842,0.2387705926812327,5.158754608419379e-05,0.7449744178725073,0.18153720032059487,-6.844731963926661e-05,0.8417183039940631,0.1615484020892738,-5.944667655097553e-05,0.8711845859055318,0.14290834397311927,-4.742172141792611e-05,0.89178161532808
0.005,1.0,0.0,0.0,0.43024521928695264,0.0013761691511590016,0.5364444253852038,0.3139651854464784,0.00011391810737864064,0.6622991023676544,0.23942125027573435,-8.767113408289204e-05,0.7895161697366707,0.21295820136739763,-7.679759985357776e-05,0.8286017340263391,0.1882624287353335,-6.119192029004285e-05,0.8559413345359371
0.00625,1.0,0.0,0.0,0.5204384561689205,0.0019148497246740878,0.4413165501277932,0.38672101617346066,0.00019780704600573542,0.5823794225301386,0.2959643488701389,-0.00010492544360481052,0.7378520353785512,0.2631330064128039,-9.276451077598174e-05,0.7863457695750906,0.2324678185349997,-7.382641519676432e-05,0.8203129162640006
0.0075,1.0,0.0,0.0,0.6033040844363827,0.00247882365636081,0.35871551394498136,0.45687690600581277,0.00030027193615797,0.5063339786501625,0.3511496830437659,-0.00012026632515203238,0.6869051299582496,0.3120631991995064,-0.00010736235465353497,0.7445143163884387,0.2755195477657541,-8.534305277650799e-05,0.7849583345227527
0.00875,1.0,0.0,0.0,0.6788255327575979,0.003042218233660409,0.2885672625287553,0.5242742605127536,0.00041821463897745133,0.43521191195865194,0.4049600740853647,-0.00013375442964456432,0.6368662979212292,0.35973885755117024,-0.00012060891797858995,0.7032087528370011,0.31741244395322876,-9.576165532765673e-05,0.7499417634992912
0.01,1.0,0.0,0.0,0.747116687472125,0.0035842188531872107,0.23003780771850604,0.5887642747619897,0.0005484341346905743,0.36987139159743315,0.4573780675742435,-0.00014545317012824253,0.58793420939543,0.4061497846175021,-0.00013252361657453644,0.6625329177939003,0.3581411479441253,-0.0001051029924909473,0.7153289435316417
0.01125,1.0,0.0,0.0,0.8084112025847461,0.004088903827448744,0.18189186399926216,0.6502138764137722,0.0006876409858774677,0.3108977905167257,0.5083860246547945,-0.0001554284769569029,0.540311061233155,0.45128553992317055,-0.0001431273520588778,0.6225917517502652,0.39770013454734315,-0.00011338865005733331,0.6811865368768426
0.0125,1.0,0.0,0.0,0.8630418521177091,0.004544794896690216,0.14274736553874134,0.7085106306522253,0.0008324934353402771,0.258572256662768,0.5579662143475408,-0.00016374871321401708,0.49419784984550025,0.49513547194129387,-0.00015244250513424617,0.5834898881713996,0.43608373363044906,-0.00012064101632555914,0.6475814808106536
0.01375,1.0,0.0,0.0,0.9114157588838798,0.004944269766553723,0.11123457821410257,0.763566672929127,0.0009796530067793315,0.21288617707064733,0.6061009063433359,-0.0001704845642823906,0.44978934520362057,0.5376887520610901,-0.00016049294272623148,0.5453302145224113,0.473286151621878,-0.00012688328302571357,0.6145803462578214
0.015,1.0,0.0,0.0,0.953989556772977,0.005282929069770118,0.08608424799679153,0.8153216378042304,0.0011258527337174094,0.17358773030048075,0.6527724635816773,-0.00017570887571576198,0.4072689393298367,0.5789344097973737,-0.00016730402185040778,0.5082124262205194,0.50930149336042,-0.00013213944658353283,0.5822487104647261
0.01625,1.0,0.0,0.0,0.9912469315496918,0.005558976715749358,0.06616861477715301,0.8637445205100561,0.0012679700968113285,0.14024431061413453,0.6979634337965251,-0.00017949643744948727,0.3668035780586096,0.6188613690775358,-0.00017290258833840746,0.47223160018394456,0.5441237842305777,-0.00013643430813445383,0.5506505523821679
0.0175,1.0,0.0,0.0,1.023679744937724,0.00577264879315312,0.050513576401678646,0.9088344298871144,0.0014030972714404327,0.11230707688495786,0.7416566391155532,-0.00018192371495787132,0.32853900733111957,0.6574584854319249,-0.0001773169699091951,0.43747681745244216,0.5777469925201572,-0.00013979347180885997,0.5198476794355666
0.01875,1.0,0.0,0.0,1.0517730991791876,0.005925709367555124,0.038294525539874405,0.9506202458936368,0.0015286026972858974,0.0891684707231929,0.7838352627242667,-0.0001830685302760921,0.29259557099442546,0.6947145839061855,-0.00018057696381415473,0.40402986631278826,0.6101650519344812,-0.00014224334126867558,0.4898991942081027
0.02,1.0,0.0,0.0,1.07599418141716,0.006021020080149408,0.028823851867062912,0.9891592603630653,0.0016421798162503589,0.07020814129649124,0.8244829315580666,-0.00018300969635921328,0.2590647836138743,0.7306184975085188,-0.0001827138189563173,0.37196405824932366,0.6413718841997126,-0.000143811114417068,0.46086100923541684
0.02125,1.0,0.0,0.0,1.0967844528535526,0.006062183077736557,0.02153494145424632,1.024534939014811,0.0017418807191057386,0.05482621926394643,0.863583793966305,-0.00018182660981343226,0.22800686873144818,0.7651591060013053,-0.00018376021288245222,0.34134318866753993,0.6713614216860507,-0.0001445247762145216,0.43278541759669675
0.0225,1.0,0.0,0.0,1.1145546364595398,0.006053252383009964,0.015965444101261373,1.0568539854378567,0.0018261341407852195,0.04246504108038002,0.9011225913052695,-0.0001795988079828239,0.19944940212031992,0.7983253748450099,-0.00018375022371193856,0.31222067258410224,0.7001276299799458,-0.00014441308957680222,0.4057207262800002
